,Site,Year,Month,Lon,Lat,PCB28,PCB52,PCB101,PCB118,PCB138,PCB153,PCB180,X4PCBs,X7PCBs,HCB,a.HCH,b.HCH,g.HCH,t.HCH,HCHs,op.DDE,pp.DDE,op.DDD,pp.DDD,op.DDT,pp.DDT,DDTs,CHLs,endosulfan,Note,Reference,X37PCBs,Heptachlor,HEPX,TC,CC,TN,CN,Dieldrin,Endosulfan.I,Endosulfan.II,PCBs,Endosulfan.Sulfate,eNDosulfan,Oxychlordane,HCHs.a.HCH.g.HCH.,CHLs..TC.CC.TN.,Endosulfan,Heptachlor.Epoxide.B,Heptachlor.Epoxide.A,PCBs.Aroclor.1260.,PCB81,PCB77,PCB123,PCB114,PCB105,PCB126,PCB167,PCB156,PCB157,PCB169,PCB189,PCB18,PCB44,PCB66,PCB128,PCB187,PCB11,PCB209,X20PCBs,PCB16.32,PCB52.43,PCB41.71,PCB66.95,PCB87.81.,PCB110.77.,PCB149.123.107,PCB153.132,PCB163.138,PCB187.182,PCB174,Pentachloroanisol,Aldrin,Endrin,PCB8,PCB17,PCB33,PCB49,PCB42,PCB37,PCB74,PCB70.76,PCB56.60,PCB99,PCB87,PCB110,PCB151,PCB123.149,PCB183,PCB70,PCB95,PCB177,PCB201,PCB205,PCB5.8,PCB87.115,PCB149,PCB128.167,PCB170.190,Mirex
35,NA,NA,8,-168.8,66.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmospheric organochlorine pollutants and air‐sea exchange of hexachlorocyclohexane in the Bering and Chukchi seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,8,-165.4,64.48333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmospheric organochlorine pollutants and air‐sea exchange of hexachlorocyclohexane in the Bering and Chukchi seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,8,-168.675,65.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmospheric organochlorine pollutants and air‐sea exchange of hexachlorocyclohexane in the Bering and Chukchi seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,8,-168.2833333,64.35833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmospheric organochlorine pollutants and air‐sea exchange of hexachlorocyclohexane in the Bering and Chukchi seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,8,-170.0166667,64.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmospheric organochlorine pollutants and air‐sea exchange of hexachlorocyclohexane in the Bering and Chukchi seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,8,176.1,54.46666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmospheric organochlorine pollutants and air‐sea exchange of hexachlorocyclohexane in the Bering and Chukchi seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,8,175.9666667,53.91666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atmospheric organochlorine pollutants and air‐sea exchange of hexachlorocyclohexane in the Bering and Chukchi seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Bering and Chukchi Seas,1993,8,-164.88,55.145,,,,,,,,,,,84,,18,,,,,,,,,,,,,Reversal of the Air-Water Gas Exchange Direction of Hexachlorocyclohexanes in the Bering and Chukchi Seas: 1993 versus 1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Bering and Chukchi Seas,1993,8,-171.2,54.835,,,,,,,,,,,106,,22,,,,,,,,,,,,,Reversal of the Air-Water Gas Exchange Direction of Hexachlorocyclohexanes in the Bering and Chukchi Seas: 1993 versus 1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Bering and Chukchi Seas,1993,8,179.38,53.54,,,,,,,,,,,105,,12,,,,,,,,,,,,,Reversal of the Air-Water Gas Exchange Direction of Hexachlorocyclohexanes in the Bering and Chukchi Seas: 1993 versus 1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
