"","Month","a.HCH","g.HCH","factor","dist","Year","loc_name","TC","CC","All_PCBs","HEPX","TN","Dieldrin","Endosulfan.I","b.HCH","pp.DDE","pp.DDT","Endosulfan.II","PCBs","PCB28","PCB52","PCB101","PCB118","PCB138","PCB153","PCB180","HCB","X7PCBs","HCHs","op.DDT","PCB18","Chlorpyrifos","PCB105","PCB31","¦²9PCBs","CN","Endosulfan.Sulfate","PCB5.8","PCB74","PCB87.115","PCB110","PCB149","PCB128.167","PCB170.190","X4PCBs","PCB8","PCB44","PCB66","pp.DDD","DDTs","PCB81","PCB77","PCB123","PCB114","PCB126","PCB167","PCB156","PCB157","PCB169","PCB189","Endosulfan.sulfate","t.HCH","op.DDE"
"70","3:32%(10)
5:39%(12)
7:29%(9)","B:61%(19)
D:29%(9)
V:10%(3)","B:29%(9)
D:52%(16)
V:19%(6)","40:100%(31)"," 17.31071:3%(1)
 22.57810:3%(1)
 26.36384:3%(1)
 36.32977:3%(1)
 45.28581:3%(1)
 45.37722:3%(1)
 48.84276:3%(1)
 50.42248:3%(1)
 53.80058:3%(1)
 58.03649:3%(1)
 62.33061:3%(1)
 62.83985:3%(1)
 69.92876:3%(1)
 73.64508:3%(1)
 74.85208:3%(1)
 74.91392:3%(1)
 89.76222:3%(1)
 94.18153:3%(1)
103.00345:3%(1)
109.29266:3%(1)
116.77506:3%(1)
127.57695:3%(1)
128.87682:3%(1)
149.41681:3%(1)
151.05208:3%(1)
200.73779:3%(1)
203.18888:3%(1)
226.04783:3%(1)
230.43412:3%(1)
237.77307:3%(1)
270.22271:3%(1)",2010,"North Sea","","",NA,NA,"","","B:16%(5)
D:84%(26)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:58%(18)
D:42%(13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","",NA,NA," 9:100%(1)","  0.00000:100%(1)",2011,"Hudson Bay","V:100%(1)","B:100%(1)",NA,NA,"B:100%(1)","D:100%(1)","B:100%(1)",NA,NA,NA,NA,NA,"","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","4:100%(1)",NA,NA,"18:100%(1)"," 34.68826:100%(1)",2011,"Strait of Malacca","","",NA,NA,"","","",NA,NA,NA,NA,NA,"D:100%(1)","V:100%(1)","D:100%(1)","D:100%(1)","D:100%(1)","D:100%(1)",NA,"D:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","4:78%(14)
5:22%(4)",NA,NA,"18:100%(18)"," 61.86515:6%(1)
140.78671:6%(1)
203.26923:6%(1)
306.62791:6%(1)
345.29244:6%(1)
415.64532:6%(1)
533.06803:6%(1)
561.32683:6%(1)
618.10691:6%(1)
646.53454:6%(1)
652.83818:6%(1)
662.09531:6%(1)
670.71019:6%(1)
687.46265:6%(1)
698.36018:6%(1)
827.39675:6%(1)
842.19564:6%(1)
976.00524:6%(1)",2011,"INDIAN OCEAN","","",NA,NA,"","","",NA,NA,NA,NA,NA,"D:100%(18)","D:56%(10)
V:44%(8)","D:100%(18)","D:89%(16)
V:11%(2)","D:100%(18)","D:50%(9)
V:50%(9)",NA,"D:100%(18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","7:100%(2)","",""," 1:50%(1)
 4:50%(1)","218.385370:50%(1)
245.020776:50%(1)",2012,"Mediterranean Sea","","",NA,NA,NA,NA,NA,"","B:100%(2)","",NA,NA,"D:100%(2)","B:50%(1)
D:50%(1)","B:50%(1)
D:50%(1)","B:100%(1)","D:100%(1)","D:100%(1)","B:100%(1)","D:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","7:100%(1)","V:100%(1)","V:100%(1)"," 4:100%(1)","  4.466917:100%(1)",2012,"Aegean Sea","","",NA,NA,NA,NA,NA,"V:100%(1)","B:100%(1)","",NA,NA,"D:100%(1)","B:100%(1)","D:100%(1)","D:100%(1)","D:100%(1)","D:100%(1)","B:100%(1)","D:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","10:100%(9)","V:100%(9)","V:100%(9)","24:100%(9)","123.687219:100%(9)",2012,"Strait of Malacca","V:100%(9)","V:100%(9)",NA,NA,NA,NA,NA,"","V:100%(9)","V:100%(9)",NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(9)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","11:100%(1)",NA,NA,"27:100%(1)","75.84762:100%(1)",2013,"East China Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","6:100%(7)","B:43%(3)
D:57%(4)","D:100%(7)","11:100%(7)","  50.32863:14%(1)
 174.87010:14%(1)
 194.88002:14%(1)
 265.15974:14%(1)
 286.03933:14%(1)
 297.67859:14%(1)
 299.09594:14%(1)",2014,"Norwegian Sea",NA,"B:14%(1)
D:86%(6)",NA,NA,NA,"",NA,NA,"D:100%(7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:57%(4)
D:43%(3)",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","6:17%(2)
7:50%(6)
8:33%(4)","D:100%(12)","D:100%(12)","11:100%(12)","  53.88535:8%(1)
  69.78520:8%(1)
 118.40080:8%(1)
 123.53212:8%(1)
 131.69130:8%(1)
 143.28492:8%(1)
 155.55061:8%(1)
 170.98509:8%(1)
 172.56677:8%(1)
 201.43296:8%(1)
 438.33666:8%(1)
 442.96845:8%(1)",2014,"Greenland Sea",NA,"B:8%(1)
D:92%(11)",NA,NA,NA,"",NA,NA,"D:100%(12)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:92%(11)
D:8%(1)",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","7:33%(1)
8:67%(2)","D:100%(3)","D:100%(3)","11:100%(3)"," 251.80935:33%(1)
 289.45320:33%(1)
 369.23169:33%(1)",2014,"Arctic Ocean",NA,"B:33%(1)
D:67%(2)",NA,NA,NA,"",NA,NA,"D:100%(3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:100%(3)",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1:33%(1)
4:33%(1)
8:33%(1)","","","27:100%(3)","  75.84762:100%(3)",2014,"East China Sea",NA,"",NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"B:67%(2)
D:33%(1)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:67%(2)
V:33%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2:100%(6)","","D:100%(6)","35:100%(6)"," 746.06694:17%(1)
 906.90374:17%(1)
 949.08409:17%(1)
1129.60565:17%(1)
1197.54394:17%(1)
1631.11432:17%(1)",2014,"INDIAN OCEAN",NA,"",NA,NA,NA,"D:100%(6)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"D:100%(4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2:100%(5)","","D:100%(4)","35:100%(5)"," 171.82022:20%(1)
 220.72022:20%(1)
 355.79116:20%(1)
 364.79019:20%(1)
 484.92330:20%(1)",2014,"SOUTHERN OCEAN",NA,"",NA,NA,NA,"D:100%(5)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"D:100%(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","7:100%(1)","B:100%(1)","","10:100%(1)","   0.00000:100%(1)",2015,"Viscount Melville Sound","","",NA,NA,NA,NA,NA,NA,"B:100%(1)","",NA,NA,"","V:100%(1)","B:100%(1)","V:100%(1)","V:100%(1)","B:100%(1)","","B:100%(1)",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(1)",NA,"","","","","","","","","","",NA,NA,NA
"85","3:29%(2)
4:43%(3)
5:29%(2)","D:100%(7)","D:100%(7)","21:100%(7)"," 109.72692:14%(1)
 158.13509:14%(1)
 202.55576:14%(1)
 203.36910:14%(1)
 245.42955:14%(1)
 281.34556:14%(1)
 294.51136:14%(1)",2015,"East China Sea","V:100%(7)","B:100%(7)",NA,NA,NA,NA,NA,NA,"V:100%(7)","V:100%(7)",NA,NA,"","","","","","","","",NA,NA,"D:100%(7)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D:14%(1)
V:86%(6)",NA,"","","","","","","","","","",NA,NA,NA
"86","4:100%(3)","D:100%(3)","D:100%(3)","21:100%(3)"," 672.22744:33%(1)
 743.66930:33%(1)
 783.11607:33%(1)",2015,"Philippine Sea","V:100%(3)","B:67%(2)
D:33%(1)",NA,NA,NA,NA,NA,NA,"V:100%(3)","V:100%(3)",NA,NA,"","","","","","","","",NA,NA,"D:100%(3)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D:67%(2)
V:33%(1)",NA,"","","","","","","","","","",NA,NA,NA
"87","4:100%(10)","D:100%(10)","D:100%(10)","21:100%(10)"," 427.32419:10%(1)
 460.22565:10%(1)
 549.80730:10%(1)
 561.22730:10%(1)
 590.78889:10%(1)
 662.82539:10%(1)
 773.61255:10%(1)
 847.84133:10%(1)
 854.09114:10%(1)
1032.47366:10%(1)",2015,"North Pacific Ocean","V:100%(10)","B:90%(9)
D:10%(1)",NA,NA,NA,NA,NA,NA,"V:100%(10)","V:100%(10)",NA,NA,"","","","","","","","",NA,NA,"D:100%(10)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(10)",NA,"","","","","","","","","","",NA,NA,NA
"88","05:31%(5)
06:62%(10)
07:6%(1)","","","44:100%(16)","   0.00000:25%(4)
  21.18725:6%(1)
 207.11377:6%(1)
 211.32262:6%(1)
 212.38586:6%(1)
 230.31513:6%(1)
 233.30802:6%(1)
 234.36269:6%(1)
 272.02775:6%(1)
 290.65758:6%(1)
 292.11021:6%(1)
 372.53419:6%(1)
 423.86330:6%(1)",2015,"South China Sea","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","","D:100%(16)","","","","",NA,NA,"",NA,NA,"D:100%(16)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"D:100%(16)","D:100%(16)","D:100%(16)","D:100%(16)","D:100%(16)","D:100%(16)","D:100%(16)","D:100%(16)","D:100%(16)","D:100%(16)",NA,NA,NA
"89","1:100%(2)","B:50%(1)
V:50%(1)","B:100%(2)","49:100%(2)","   0.00000:100%(2)",2015,"South Pacific Ocean","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"V:100%(2)","V:100%(2)","V:100%(2)","V:100%(2)","V:100%(2)","V:100%(2)","V:100%(2)","V:100%(2)",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","","","","","","","",NA,NA,NA
"90","8:100%(1)",NA,NA,"10:100%(1)","   0.00000:100%(1)",2016,"Viscount Melville Sound",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"V:100%(1)","V:100%(1)",NA,NA,NA,NA,NA,"V:100%(1)",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA
"91","11:100%(3)",NA,NA,"36:100%(3)"," 106.10994:33%(1)
 122.56300:33%(1)
1370.14813:33%(1)",2016,"INDIAN OCEAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D:100%(3)",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D:100%(2)",NA,NA
"92","11:25%(1)
12:75%(3)",NA,NA,"36:100%(4)","   0.00000:25%(1)
 407.47525:25%(1)
 823.61459:25%(1)
 911.96245:25%(1)",2016,"SOUTHERN OCEAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D:100%(2)",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D:100%(3)",NA,NA
"93","12:50%(1)
8:50%(1)",NA,NA,"51:100%(2)","  74.31690:100%(2)",2016,"Yellow Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"B:50%(1)
D:50%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA
"94","12:53%(9)
8:47%(8)",NA,NA,"51:100%(17)","  29.90799:12%(2)
  35.10907:12%(2)
  50.47869:12%(2)
  54.17355:12%(2)
  62.82257:12%(2)
  65.92909:18%(3)
  66.99864:12%(2)
  76.27178:12%(2)",2016,"Bo Hai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"B:35%(6)
D:65%(11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA
"95","9:100%(3)","V:100%(2)","V:100%(2)","19:67%(2)
36:33%(1)","618.52259:33%(1)
641.77611:33%(1)
662.13681:33%(1)",2017,"Arctic Ocean",NA,NA,NA,NA,NA,NA,"","V:100%(2)","V:100%(2)","V:100%(2)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D:100%(1)","V:100%(2)",NA
"96","9:100%(1)","V:100%(1)","V:100%(1)","19:100%(1)"," 27.56448:100%(1)",2017,"Bering Sea",NA,NA,NA,NA,NA,NA,"","V:100%(1)","V:100%(1)","V:100%(1)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","V:100%(1)",NA
"97","1:100%(1)","","","36:100%(1)","441.16368:100%(1)",2017,"SOUTHERN OCEAN",NA,NA,NA,NA,NA,NA,"","","","","D:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D:100%(1)","",NA
"98","1:50%(1)
2:50%(1)","","","36:100%(2)"," 39.85450:50%(1)
288.59253:50%(1)",2017,"ROSS SEA",NA,NA,NA,NA,NA,NA,"","","","","D:100%(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D:100%(1)","",NA
"99","3:100%(1)","","","36:100%(1)","642.53252:100%(1)",2017,"INDIAN OCEAN",NA,NA,NA,NA,NA,NA,"","","","","D:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA
"100","4:100%(1)","","","36:100%(1)","293.72114:100%(1)",2017,"Celebes Sea",NA,NA,NA,NA,NA,NA,"","","","","D:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA
"101","10:100%(1)","","","36:100%(1)","499.07843:100%(1)",2017,"North Pacific Ocean",NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA
"102","10:100%(1)","","","36:100%(1)","293.75877:100%(1)",2017,"Sea of Japan",NA,NA,NA,NA,NA,NA,"D:100%(1)","","","","D:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D:100%(1)","",NA
"103","2:100%(1)","","","51:100%(1)"," 74.31690:100%(1)",2017,"Yellow Sea",NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA
"104","2:100%(3)","","","51:100%(3)"," 32.31146:33%(1)
 52.00860:33%(1)
 54.17355:33%(1)",2017,"Bo Hai",NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:33%(1)
D:67%(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA
"105","11:100%(2)","B:100%(2)","B:100%(2)","20:100%(2)","1329.03764:50%(1)
1538.47125:50%(1)",2018,"Philippine Sea",NA,NA,NA,NA,NA,NA,NA,"D:100%(2)","V:100%(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:100%(2)"
"106","11:100%(3)","B:33%(1)
V:67%(2)","B:67%(2)
V:33%(1)","20:100%(3)"," 646.89100:33%(1)
1110.15597:33%(1)
1388.69504:33%(1)",2018,"North Pacific Ocean",NA,NA,NA,NA,NA,NA,NA,"B:33%(1)
D:33%(1)
V:33%(1)","V:100%(3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:100%(3)"
"107","11:100%(1)","V:100%(1)","V:100%(1)","20:100%(1)","  90.46205:100%(1)",2018,"South Pacific Ocean",NA,NA,NA,NA,NA,NA,NA,"V:100%(1)","V:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:100%(1)"
"108","11:100%(1)","B:100%(1)","B:100%(1)","20:100%(1)"," 380.77527:100%(1)",2018,"Solomon Sea",NA,NA,NA,NA,NA,NA,NA,"B:100%(1)","V:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:100%(1)"
