"","Month","a.HCH","g.HCH","factor","dist","Year","loc_name","TC","CC","All_PCBs","HEPX","TN","Dieldrin","Endosulfan.I","b.HCH","pp.DDE","pp.DDT","Endosulfan.II","PCBs","PCB28","PCB52","PCB101","PCB118","PCB138","PCB153","PCB180","HCB","X7PCBs","HCHs","op.DDT","PCB18","Chlorpyrifos","PCB105","PCB31","¦²9PCBs","CN","Endosulfan.Sulfate","PCB5.8","PCB74","PCB87.115","PCB110","PCB149","PCB128.167","PCB170.190","X4PCBs","PCB8","PCB44","PCB66","pp.DDD","DDTs","PCB81","PCB77","PCB123","PCB114","PCB126","PCB167","PCB156","PCB157","PCB169","PCB189","Endosulfan.sulfate","t.HCH","op.DDE"
"11","10:12%(1)
11:12%(1)
12:12%(1)
5:12%(1)
6:12%(1)
7:12%(1)
8:12%(1)
9:12%(1)","",NA," 5:100%(8)","   2.50796:100%(8)",1997,"Chesapeake Bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","12:100%(4)","B:100%(4)",NA,"41:100%(4)","1216.71559:25%(1)
1370.18830:25%(1)
1747.92934:25%(1)
2061.71744:25%(1)",1997,"South Atlantic Ocean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","12:100%(1)","D:100%(1)",NA,"41:100%(1)"," 976.70880:100%(1)",1997,"SOUTHERN OCEAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1:33%(1)
2:33%(1)
3:33%(1)","",""," 5:100%(3)"," 2.507960:100%(3)",1998,"Chesapeake Bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(3)","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","12:100%(1)","D:100%(1)","D:100%(1)","33:100%(1)"," 6.435069:100%(1)",1998,"North Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","D:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7:100%(2)","","","45:100%(2)"," 7.168729:50%(1)
35.920036:50%(1)",1998,"North Atlantic Ocean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","V:100%(2)","V:100%(2)","V:100%(2)","","V:100%(2)","V:100%(2)","V:100%(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","","",""," 9:100%(1)"," 0.000000:100%(1)",1999,"The North Western Passages","V:100%(1)","V:100%(1)",NA,NA,"D:100%(1)","V:100%(1)","B:100%(1)",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Feb to Jun:100%(1)","","","17:100%(1)","43.903754:100%(1)",1999,"Baltic Sea","","",NA,NA,"","","",NA,NA,NA,NA,NA,"V:100%(1)","","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","D:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1:12%(1)
10:12%(1)
11:12%(1)
3:12%(1)
4:12%(1)
5:12%(1)
6:12%(1)
7:12%(1)","D:88%(7)
V:12%(1)","D:75%(6)
V:25%(2)","33:100%(8)"," 6.435069:100%(8)",1999,"North Sea","","",NA,NA,"","","",NA,NA,NA,NA,NA,"D:12%(1)
V:88%(7)","D:25%(2)
V:75%(6)","D:12%(1)
V:88%(7)","D:25%(2)
V:75%(6)","V:100%(8)","V:100%(8)","D:25%(2)
V:75%(6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","9:100%(1)",NA,NA,"25:100%(1)","0.0000000:100%(1)",2001,"Golfe du Lion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","9:100%(1)",NA,NA,"25:100%(1)","0.9766571:100%(1)",2001,"Balearic Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","7:100%(1)",NA,NA,"25:100%(1)","0.0000000:100%(1)",2002,"Golfe du Lion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","6:100%(1)",NA,NA,"25:100%(1)","0.9766571:100%(1)",2002,"Balearic Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Summer:100%(1)","D:100%(1)","D:100%(1)","38:100%(1)","16.57916:100%(1)",2003,"ROSS SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","6 to 8:100%(1)",NA,NA,"12:100%(1)","343.463442:100%(1)",2004,"Norwegian Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","6 to 8:100%(2)",NA,NA,"12:100%(2)","187.706755:50%(1)
409.479761:50%(1)",2004,"Greenland Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","6TO7:100%(1)",NA,NA,"30:100%(1)","  1.465705:100%(1)",2004,"Strait of Singapore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V:100%(1)","D:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
